fffa77f6b0be,ffffa69987a3,00040d94fb80,00081453c309,00119a15c124,0014fbca9748,001c12a8b2ab,00218a6f1ae7
00239f27c598,002ad3b64b94,002aa785cf98,003168ba46b4,00332681f7d4,00382d7fa30a,0035d2155eed,0039523c30b3
003902efb73a,003c059de2d0,003a1f2c34b4,0036c5ad3dee,003609638fa5,0038457b54ed,0032c6ffd511,003180dfe017
00323fa0ba6c,002def81b59c,0025b576f748,0022a34bff6c,001f51795ae7,0019b0e044d5,00156eeac689,001299b42a60
000886a8e367,00048402f0a3,0003e0095f54,fff9dcc5f2f7,fff4f344d995,ffefae6d068a,ffe81debb7e9,ffe3c30b360c
ffe1bec14a68,ffdeed2efffd,ffda0d0537f7,ffdb14e9da4f,ffd3a6e96916,ffd0b4a9c5cc,ffce100e35e8,ffcb90cb0153
ffc8436a4c9c,ffc6ed097872,ffc8df34c5fd,ffc80054ba4c,ffd07100b870,ffcd00519ea7,ffcfa9b93872,ffd2ed1c35e8
ffd6df4912ff,ffd5255eebf0,ffdaeacf0601,ffe25cee0d67,ffe4af41b5bd,ffee14e5cdcb,ffecfdc1aa68,fff4cb6abecd
fffb444373dc,0000bcc989d1,00042d12fa48,000877d6a218,0012ab53debc,0018201dc21c,0017d3f45c3c,001fef27c579
00222ca60707,0028406a7714,002845663d3f,0033e52be205,002f08ac8341,0035b04bce34,0035ae48611f,003b800b566d
003c05db145a,003923815623,0038c2f53eca,0039758bf957,003803a6272d,0033ba4050e3,00375cf5c131,00341a5c4b4b
002c1fa9927d,0028026d2aec,002672add056,001f721a0fdb,001da5feb797,001d730fcea8,00140815afe5,0014466bbf17
00098a5051bc,0004dccb457c,00036c3e8994,fff81af5a735,fff81b4e538e,ffeebeb29439,ffec2eb17c27,ffe676545a75
ffe09cfb7631,ffe0e9ed9835,ffdd64f36858,ffd6b3600c11,ffd222c6c554,ffd13bd2054b,ffcd28e29e38,ffcd5fbd95ee
ffcb6faa204b,ffccacb4eb16,ffcc8aed54a9,ffcac1e1ef27,ffcac861413d,ffcf0de8f2ac,ffd305fe9fac,ffd5ffbd8074
ffd42598d353,ffd89aa8a5d0,ffdfdce719c1,ffe4a599b309,ffe829dde181,ffe9b5090aae,fff42bffa69e,fff1cde8e107
fffa2976db5b,0003e16f2ac3,00066c3aa47a,000ca23a03e4,0013f7f2969e,00171ffd0597,0017e6962671,001fea92d37c
002554d2e5b5,002841e35df1,002ac210960e,002e13bacdb5,003060d9a249,00336bb5990e,0038a2a757f0,003783f5d0ee
00388663a5f5,003d92ec4552,00384d7d2ec3,0038792c3c92,00393cb7aa80,0033d8edec10,003210ae1b3d,003027c12494
002ea1cc03ae,002bc7f59851,0026c644805b,00223169bfca,00202c9d3385,001cad4d6aa2,0013cb9361d5,00103a4c4f47
000e16190fa7,00072804e0de,fffc31d22cee,fffcbfda6e80,fff457aab1c1,fff01741bb03,ffe894b88526,ffe491905be0
ffdfafe0e397,ffdbc0541582,ffd9101cf0e8,ffd46f329663,ffce940a7091,ffd2996ed799,ffd0cf2730af,ffd05ce3b0e4
ffcb63347721,ffcdada2375f,ffcb4d45626a,ffccf63d3dfc,ffcd5ef47089,ffd097902ebe,ffcf1c8efb0b,ffcf69b75f68
ffd3ddb07544,ffd64ab134e6,ffdd2830125f,ffe490e3b9f9,ffe83040d006,ffee6b74884a,ffeebae05a62,fff41d40532c
