0049608cbcb7,0051b94b44a7,005421ddf47a,004f5c3a7ee9
004ed8529e08,0044582ab1d5,00407c7a61f8,0030cc19fb21
0026e57ed44d,00124e9767ac,00075287eaf1,fffa36a9d5e3
ffe8da442591,ffe0af250a47,ffcd7197ab43,ffc41b2d1e86
ffbfa9d10b84,ffbced99a145,ffb24e0cf58f,ffb5fc8280ce
ffbc79eeb061,ffc0993b4b36,ffcd54f50058,ffd36d51fecc
ffe4a0cd04d7,fff1571f9f4a,fffcf0f1e446,000eec677e92
0022426e4f36,002f4a773e60,0039e691624c,0042d5188ec2
004c67d7de49,00513dea0d60,005159891851,004fa0c9456a
00520a8807e4,0046bb0d4194,003be4780c52,0035489d2de7
0023625f24fc,0015852e637d,000b4664fe1f,fff93b914e36
ffe8af0a6fee,ffdc576994f5,ffcc14aa180a,ffc4c0da026e
ffbad4d73b8a,ffbbb9554cd6,ffb3a4bb3fec,ffb8cf2eaaae
ffbed62dcdf8,ffbfa145b37c,ffcb8ded9f55,ffd846ef1af7
ffe1db8211bf,ffee2f46134c,0000a4bb7773,000fdf3cad6e
001d29e7b0bf,0032b2326f92,003b83364ef2,00420cd19a89
0046eb5f1c14,004f121376fa,0052659f0720,0052d30be62b
004f78cef97f,004665f51d9e,003e9a33ef96,003024fbd618
0021cf0c366d,001325e6d960,0005d2c5f1d7,fffafe393e05
ffecac131daa,ffd7ee5890ad,ffd165d41df9,ffc180b8d4ba
ffbd6ff23d61,ffb879d91237,ffb4d13f47f2,ffb430675aa9
ffba52a000b3,ffc3a3eb6468,ffc7dd742acf,ffd5305213b0
ffe551c3706d,fff1443677a0,ffff1ccb034d,00103c444590
001e0f39ebfe,002c7f85d9f6,003620e88f3d,0042e3d0e88c
004ddff7084a,005198db9f02,004fc6f55d49,004e9730cfdb
004c5d65385d,00481cee662e,003faa1b014d,003091a9c38e
0022f5bab304,00180a337a23,0008bc6f63dc,fff811a8524d
ffe975c89cf0,ffdd7d922101,ffd15dc3f263,ffc1b4ac6925
ffba853011d3,ffbb04ba2ca3,ffb8df7da82e,ffb7807e3649
ffbab0fcbabb,ffbd0cd85772,ffce0aa65c68,ffd42441828a
ffde35824e11,fff4991df8c2,fffeb2c262cb,000dd2f85b9d
