ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
0006e0377129,000717a01de1,000720b41357,000715ade39e
0006f3cf1a4e,0006ca0e6396,0006965b6eb5,00064f48dd5a
0005ffc96f34,0005bfdbf45f,00058181a138,00053eefcc86
0004f89f55b7,0004a73eee16,00044f67d56f,0003f4bf10e4
0003961b20a2,00033381a8d7,0002ce7fd9ed,0002632ca92f
0001f5ec10de,0001916ed76f,00012d5cdd9f,0000cbf9e42a
000068dafb31,ffffefa959d9,ffff6da91c6b,fffef35d99d9
fffe7a0d22af,fffdf677fae5,fffd78063417,fffcf61a16df
fffc80bd9f53,fffc48e23f06,fffc2f598178,fffc239e5fc2
fffc26bb25d4,fffc2c9a559a,fffc3886c9e8,fffc5059ca58
fffc6df3dcf6,fffc85eebdd8,fffc9ec8d97c,fffcb95a4440
fffcd68fe354,fffcfcd98b18,fffd26cea25e,fffd54150479
fffd825fef5e,fffda8e227b4,fffdcca2e8b2,fffdf1aee15c
fffe16748ee8,fffe39d716d0,fffe5dae988a,fffe802ee3ca
fffea3b2f6b3,fffed04c6681,ffff00c4a69e,ffff2ff908fd
ffff5faa8c95,ffff91ebaa49,ffffc31570c9,fffff5bd785e
000025719ea7,00004528dcec,00005d3422c4,0000718cbfb3
000082388dab,0000933b71c9,0000a2f0880c,0000aff67988
0000bb6ef60b,0000c6855971,0000d0a14ee1,0000daafec69
0000e3f8abae,0000ea3c0afa,0000efc05068,0000f3c4bfdc
0000f814c02b,0001025a1b8c,00010ee61fde,00011c429c6d
00012a2b600b,0001363deca0,000141b99a14,00014d14dd28
0001581f72d4,000163a3796f,00016f0f7873,00017903af3a
000182362e29,00018c3c9e77,0001953f8279,00019e229498
0001a52902ba,0001a5007ba3,0001a1226ee2,00019aff3ccb
000192cfe837,00018abb9d9c,000181b0f255,0001773e4ef6
00016ba28f35,00015e5c6947,00014fd49f7d,0001412fcb73
000131d80d43,0001206e475d,00010e8cf795,0000fb7a4c63
0000e8b33f24,0000dac12249,0000ceb4a316,0000c35add0e
0000b8877548,0000ac633856,00009fde9fac,00009371c255
000086dbc82f,00007a7c18b8,00006e19af1e,0000607be72a
000052672774,000045c40895,000038a3e8cf,00002b9959a3
00001d3dbef9,0000089bcae4,fffff0c3fd66,ffffd85fc3f7
ffffbe8e4431,ffffa287cf2e,ffff85ce4986,ffff67559d72
ffff48e63a39,ffff30278d52,ffff19a7a1f6,ffff0268a301
fffeeb7e0560,fffed5aa7eee,fffebf474a11,fffeaa61e7fb
fffe943fa6c4,fffe7562d224,fffe531629dc,fffe2e28e8fb
fffe082fe9d3,fffde75700e5,fffdc7970f74,fffda8ef316c
fffd8a5fab52,fffd651cf83e,fffd3d9dfed4,fffd1a6e5863
fffcf8a1e45d,fffcd2bde8c5,fffcafb13272,fffc8bdf0a7a
fffc6e24290e,fffc6baa0b3a,fffc76ddb60e,fffc88bc4294
fffca187b335,fffcbb930310,fffcd89b98df,fffcfb10af2b
fffd2071c367,fffd4496e1bb,fffd69c85561,fffd8fad317e
fffdb6f54270,fffde2f2eb41,fffe10978e47,fffe400ca4f4
fffe6fa6195e,fffe997494a6,fffec0f22d57,fffee8c0a0a6
ffff0ff96157,ffff364348f6,ffff5c9aa4ea,ffff81bebf1b
ffffa7458e3e,ffffd2297c60,ffffff232fe5,00002bb74f8e
00005877196d,000085371551,0000b1007c1b,0000dd6f2712
00010849a09b,00012c34c616,00014cebf1cd,000169d86af1
000184d6c119,0001a44c4af9,0001c350ee2e,0001e2616da3
0001ff5d6492,0002106cd1ce,00021bc38fb3,000228c08e87
000234423a78,000239a00964,00023f5d79f6,000240962914
000245128b74,000263763c64,00028c7018c1,0002bb7da49d
0002ee00a2a4,00031696f5e0,00033d281c4c,00036307bb46
