0004a3f418,fff51d1f9a
fff33cfbdb,fff1b6658e
0000a25eea,fff9bf8bdf
fffcf4530d,0011b3888e
001a824f8f,0019548b6c
001d286aaa,00275c4469
0022bc9e91,001a2d4ae9
0010d5b029,000f57181f
00011d107e,fff12c012f
fff055da4a,fff3c9640f
fff60063ee,0000e6734d
00014c0eea,000f0642ae
001707f63a,00221c0e64
001db1e1f5,001bee4dd1
0017775692,00108626f9
000c944047,00060dde8f
000469ef7e,fff18385c6
fff28665f0,ffea9b2712
fffa6de7f9,ffff774630
00047193f9,00100d6140
001a8f6503,001a9fe911
001ee2d129,001b2101f3
0024c10b4e,00198f85f9
000ccd76cd,0008ca5579
0004fac281,fff861f0e2
fff225cb62,fff73ffe47
fff2f9265b,0000c86985
000ca7d6c3,000e15d14d
0015c7d2e1,001e237580
001d2bfc97,001e424688
0020677f8e,000f9d95b1
0017a81db9,000412e974
fffa6ac5c9,fffcd3001f
fff45e8ad6,fff175975c
fff6441287,0006316d66
000126027b,00084543bb
000bf525c2,001cae6518
001e59525c,00284c1d2c
001eefa545,001c33dbdb
0018075272,000ac5d858
0002b0c2bc,fffe7800f3
fff5ed7a1b,fffa95c3c1
ffeec9e05c,0003a39402
00082a6364,00116cade9
0014d2e0b0,00155b4002
001c1ba702,001fe89936
001402bb6c,00164f2a90
00143ff7e0,0006a92469
0005ee9c7e,fffd0ba917
fff8d1de77,fff321e77d
fff94b222c,000192f6d0
0012cab687,000c0bc6a5
001cfc198d,001aaad5b6
0020d61b39,0020be3d53
001d78a99b,0014e87728
0013db53e6,000937c781
fffdbfe500,fffbf86cba
fff2b33a68,fffbf7d581
00006bcf43,fffeacee14
000540c2d5,000e9dcb2b
001520bb69,0021f231c6
0020e7c8c9,001f56cac6
001b652a04,0018fdd20e
001194deeb,0007db4a3b
fffb858637,fffae0af70
fffaac62d9,fff5f7563d
fff8dbcf3e,fffd1398b0
0006d0f149,000cad0d48
001bc3a85c,001f55a8ae
001c70b275,001e4d3f7f
001b62d0d5,001f9134e5
000d656269,00094fdb4f
fffe90f7b2,fff4402542
fff6ae18bb,fff89dd1bf
fffc9aa016,ffffa2a2e6
00042a358c,000fe297d8
001db043be,0024bd8e9e
0020ce86ae,001e1747fa
001d26d2bf,001a9dc290
00103eeba9,000bdc4517
000134e645,fffa9691b6
fff0839b3d,fff2406d8e
fff6000553,fffdf82a72
00022615c9,000b37b66e
001f15c0c2,00240093a9
00229b74fb,0026d28630
001a77b1b5,001bf42ed4
000ce9249b,000812447d
fffb809d22,fff7586e9d
fff5084faa,fff232f6be
fffa80ed74,ffffbf6332
000711e84b,00077b5409
001e3d005f,0014cd462e
00137f50e1,001f69e221
001d9e2bfe,0015158113
000a31c852,0005db6df6
fff930ccdf,fff9be8fd5
fff41e3dee,fff87dc335
fffb0db68f,00002f7447
000d8c5fab,0005e8ebb3
0010a43c90,001f735a3f
002156305c,001b925374
002261c16e,001945917d
00127c8a00,0008f99793
fffe260e51,fffa200392
fff237f425,fff1dd0a9f
fffcedb1b5,00011406db
fffd02832b,001085ebb9
0013815321,0022f75339
001c315ca6,0023121056
001c0733b9,001a7c0b1d
0009cfad30,0007a08096
fff6500cc3,fff94185bc
fff741bb13,ffefa24591
fff9aa02ea,00022f8d16
000cb693e7,00115ad1eb
001cce89cc,0017f59d63
001d8187d8,001c44bde4
001d277196,00166a8ca9
001184967c,0008948cdc
00025ab1cf,fffbaefa6b
fff48a4c03,fffe2b0df9
ffff8d0cf6,00045fbc90
000101e40d,000fd13bc4
00145330ab,00209629e7
001e557517,001cf35055
001d845bf1,001ba5d182
0012b25375,00047f1da7
fffca6fa07,fff9feadc2
fff3dbf869,fff058464a
fff7de91e8,fffc76ff4e
0003b89002,001224773f
0019ae773c,001c59915f
002925d9ec,0023631a8c
0023184b55,00127cb400
00078f6d18,000bfe5f10
fff93401ff,fff8116398
fff53a91c2,fff2791b83
00006e95c8,fffb94cce9
00049d7c73,000bd9293d
001898c7d0,001f33712a
001b77d77d,001f4eb0a1
002671a962,0018ea55c5
00145b3f4c,000a979019
fffd624c57,fff4310407
fff8d8eac5,fff9f16a17
ffed81cae8,fffbd932f4
0006863fed,000c0e1370
00107ff9e6,0019acc717
0020737989,0020f7e500
0021e53a01,0010bd7b2c
0014b4eadb,0001e04d41
ffff04cf71,fffa2b48ed
fffb8681ec,ffec0a5630
fff752260d,fffa454f79
000f58545a,0010a1e43b
001a64e669,001cb9bc7f
0020bfa670,002835c3f5
00195ad4f7,00132df9a8
0009ae1397,000d4ac135
fffd465bf2,fffb8b756b
fff9042ab6,fff791e7f1
fff6f33ce7,fff9bff9c6
00061c173d,00143f4309
001b23abed,00160fcd13
00263a4576,001fbe0114
00143e9582,0016a419cc
001580aded,ffff840cc2
0001705184,fff9d4c1df
fff616c5e4,fff0d4330f
fff7597ea7,0000957aea
0008c52c26,00105b60c0
0012bbef30,001f38cfde
001c3723bf,0022b5dd16
00215ad1c0,001b04d10b
00190dd33e,00077d4091
000390bf48,fff988d116
fff88025dc,fff2212f5a
fff0e79187,fff732e20c
fffb4cc29f,0010b7d6e4
0017a143db,00273cee17
00179a18c6,0022d55468
001c7cbd74,0013dcd77a
000cfa85a1,000a878216
0004b8fb63,fffc31e05a
fff91d4e67,ffed8a8f52
fff8bc7000,fff9e6628c
00043fbe21,000fce2c78
00180ac1dc,001c379d13
001d3d1329,0018ed5d34
0019a4a599,00161f73be
00098288c5,000ad8310b
fffcf97a83,fffa36a1f5
fff2574bb2,fff4d8d0bd
fff7116b4b,fffe45768c
00049e02a8,000d02242a
00122ad415,0020efa74e
00218e86e0,00226901be
00237a5469,001fc041da
0013f52640,000af40ffa
0005025254,0000411611
fff9267801,ffedf2f3bf
fff499cccb,000231ab5d
000c956a3c,001226de6e
001348f63f,0021576079
001a56c1d0,00230da086
0016189d70,00153f4646
0011d8ffae,0009f6f515
000235f024,fffd915576
fff5a6cf5b,fff3767dde
fff8b28565,fffa557b5e
0004509663,000f5d3ff9
00100bf714,00283680e5
001804fac9,002783e00a
0020b92c47,001bd6c0b2
0012098b0b,00072a1e10
fffd66c059,fff75fb348
fff70cc0f0,fff32258d8
fff5abfbd7,ffff7ca7b5
0004caa680,000b7560e6
001ceab576,00176309bc
